年份,股票代码,交易数量
2002,INTC,14525757100.0
2002,AMAT,8529651500.0
2002,GE,6862382700.0
2002,AMGN,3607012900.0
2002,ATVI,3207083600.0
2002,GLW,2941016000.0
2002,AAPL,2750497400.0
2002,IBM,2347246300.0
2002,ATML,2176602800.0
2002,AMZN,2103607700.0
2002,ALTR,2037020100.0
2002,ADBE,1976462400.0
2002,INTU,1650005800.0
2002,GPS,1566486500.0
2002,GS,1122896400.0
2002,IGT,1047708000.0
2002,ISIL,905203600.0
2002,GD,828868600.0
2002,IP,742995800.0
2002,ADSK,691458800.0
2002,IDTI,667515100.0
2002,IPG,644280400.0
2002,GFI,631709000.0
2002,IR,618230800.0
2002,ASML,591917000.0
2002,ADP,582994000.0
2002,ITW,554998200.0
2002,APOL,488851300.0
2002,GT,428836400.0
2002,ADPT,416120200.0
2002,GIS,407934400.0
2002,GG,399123700.0
2002,AMCC,397265200.0
2002,AFFX,373822900.0
2002,AMKR,365685700.0
2002,IACI,348014800.0
2002,ITUB,296610600.0
2002,GCI,290605700.0
2002,AKAM,285883200.0
2002,ITMN,283027200.0
2002,IRF,281318400.0
2002,INFA,266448800.0
2002,ALKS,264306100.0
2002,ADCT,256658000.0
2002,GSK,256568100.0
2002,ITT,250294400.0
2002,AMTD,232567500.0
2002,ACXM,226505200.0
2002,ACLS,223821600.0
2002,ADVS,221844600.0
2002,GR,203886500.0
2002,IJR,183518400.0
2002,IRM,178717600.0
2002,AMMD,166493600.0
2002,ARTG,164054700.0
2002,GGB,163822400.0
2002,ISIS,159889600.0
2002,ARBA,157811200.0
2002,AMLN,157634600.0
2002,ACAS,153727000.0
2002,ADTN,151893200.0
2002,AZPN,150946800.0
2002,GME,147540200.0
2002,ANSS,147234400.0
2002,IDXX,141799800.0
2002,INCY,140552200.0
2002,ARRS,139606100.0
2002,IBB,134228300.0
2002,ANAD,129549500.0
2002,AMCS,123844800.0
2002,IM,123278300.0
2002,IMMU,123003900.0
2002,AEIS,117722900.0
2002,ITG,113889800.0
2002,INFY,112496600.0
2002,ACTU,110118500.0
2002,GWW,108191900.0
2002,ARMH,107162400.0
2002,ATMI,107108500.0
2002,AVCT,104187700.0
2002,ASMI,103429400.0
2002,IFF,101789800.0
2002,GPC,100598900.0
2002,ASCA,99772200.0
2002,ITRI,91794400.0
2002,ASBC,90126800.0
2002,IDCC,89481400.0
2002,IVV,89476200.0
2002,ALXN,86158600.0
2002,GMT,85906500.0
2002,AMSG,85683600.0
2002,ITWO,85551100.0
2002,GPN,81035000.0
2002,ASIA,80340600.0
2002,ING,77909000.0
2002,IMGN,77433100.0
2002,ASTM,76723000.0
2002,IEX,74534500.0
2002,ISLE,74477700.0
2002,GAS,72980300.0
2002,ACTL,72602600.0
2002,IJS,69783400.0
2002,GY,69598100.0
2002,AMRI,69059800.0
2002,IMNY,68306500.0
2002,IMN,66477400.0
2002,AFCE,65497300.0
2002,IART,65197400.0
2002,GRA,64850900.0
2002,ASGN,64450500.0
2002,GCO,64377800.0
2002,ABFS,64292400.0
2002,GXP,63669000.0
2002,IEV,63114400.0
2002,GPI,60023800.0
2002,ANPI,58859200.0
2002,ISPH,58590100.0
2002,IDC,58565500.0
2002,IT,57990900.0
2002,AGEN,54773400.0
2002,INSP,54029000.0
2002,ARTC,53683400.0
2002,AXTI,53628300.0
2002,GAB,53465800.0
2002,ACPW,53189600.0
2002,GIM,52336500.0
2002,AGYS,52214200.0
2002,ALGN,52151300.0
2002,GTI,51838100.0
2002,INSM,51466800.0
2002,GAP,50742300.0
2002,IDA,50373700.0
2002,AVID,50165200.0
2002,INAP,48694100.0
2002,INSU,48180900.0
2002,GGG,47731300.0
2002,ICON,47693500.0
2002,ICLR,47352800.0
2002,ISSI,46993500.0
2002,ANEN,46654600.0
2002,IMAX,45666900.0
2002,ARNA,45081700.0
2002,ACMR,44438600.0
2002,ATAC,43636400.0
2002,ACIW,43331600.0
2002,GVA,43188900.0
2002,AIPC,42814800.0
2002,GWR,42759100.0
2002,GRT,41988000.0
2002,ATSI,41860300.0
2002,ISCA,41590400.0
2002,AVII,41011600.0
2002,IJH,40665000.0
2002,INT,40431200.0
2002,IFSIA,39915300.0
2002,IGV,39022100.0
2002,ALOY,38614000.0
2002,GFF,38551700.0
2002,IJJ,38321600.0
2002,ADAT,38294900.0
2002,ALVR,38152400.0
2002,ABTL,37845300.0
2002,ADLR,37543900.0
2002,ARQL,37065000.0
2002,IVE,35993600.0
2002,ID,35604100.0
2002,AUDC,35440500.0
2002,IGN,34837000.0
2002,ACCL,34228400.0
2002,ACGY,34196000.0
2002,APOG,33868800.0
2002,GB,33088300.0
2002,ILMN,33007800.0
2002,ARIA,32518600.0
2002,ACAP,31853500.0
2002,IJK,31084800.0
2002,IJT,28801400.0
2002,ALTI,28148400.0
2002,IVW,27630600.0
2002,AXAS,27419900.0
2002,ISRG,26917600.0
2002,IDU,26885500.0
2002,IO,26872400.0
2002,IBIS,26786200.0
2002,INFO,26340100.0
2002,ABMD,25773100.0
2002,AMSC,25523900.0
2002,APAC,25387400.0
2002,IBN,25352500.0
2002,AMWD,25097200.0
2002,AVGN,24982300.0
2002,ALTH,24956800.0
2002,IN,24756200.0
2002,AWRE,24678000.0
2002,GIL,24423600.0
2002,IYC,23833700.0
2002,ARRY,23187000.0
2002,ASTE,22947100.0
2002,IVAN,22743500.0
2002,IXYS,22607100.0
2002,IVC,22604900.0
2002,IYR,22556600.0
2002,GLT,22073700.0
2002,IUSA,21713800.0
2002,AIRM,21305400.0
2002,ACGL,21057700.0
2002,ISTA,21017300.0
2002,ICGE,20934200.0
2002,ABCO,20576400.0
2002,IYE,20436600.0
2002,GEO,20404600.0
2002,GTN,20270100.0
2002,ACAT,19865800.0
2002,ICUI,19708800.0
2002,IMMR,18642700.0
2002,IYH,18411100.0
2002,IYW,18290000.0
2002,GDI,18150000.0
2002,ABMC,17794400.0
2002,AERT,17493100.0
2002,GTY,16888100.0
2002,ALOG,16879800.0
2002,GRB,16799700.0
2002,ACET,16147500.0
2002,IYZ,15694500.0
2002,IBAS,15547700.0
2002,ANLY,15303900.0
2002,IGW,15101700.0
2002,GPK,14872500.0
2002,GES,14780600.0
2002,IYM,14150700.0
2002,IHR,14104100.0
2002,AMIC,13966800.0
2002,IBOC,13421400.0
2002,IFN,13217400.0
2002,AMED,13153600.0
2002,IIVI,13138200.0
2002,GLF,13089800.0
2002,IOSP,12780800.0
2002,ABCW,12505800.0
2002,ACEL,12482400.0
2002,ARLP,12408600.0
2002,ISSC,12349100.0
2002,ASEI,12235700.0
2002,GIB,12130500.0
2002,IVZ,12084300.0
2002,GF,12032600.0
2002,ICTG,11900700.0
2002,ATPG,11653200.0
2002,AERG,11278000.0
2002,AAON,11152400.0
2002,ISIG,11020000.0
2002,IBCP,10829300.0
2002,AMFI,10704500.0
2002,ICOC,10402200.0
2002,APSG,10335100.0
2002,AMSWA,10210700.0
2002,IMA,10059000.0
2002,GBL,9933200.0
2002,ASGR,9897500.0
2002,GHI,9868300.0
2002,IGTE,9732100.0
2002,GMR,9648000.0
2002,INVE,9639400.0
2002,IRET,9537300.0
2002,ISYS,9516800.0
2002,IIT,9482600.0
2002,IGOI,9465700.0
2002,IDT,9165800.0
2002,GEF,9046600.0
2002,IYK,8954100.0
2002,IIF,8728600.0
2002,AVNR,8568200.0
2002,IFNY,8387600.0
2002,IGE,8210400.0
2002,AMIE,8207300.0
2002,INDB,8032600.0
2002,GMA,7973000.0
2002,IGM,7844100.0
2002,GUT,7833100.0
2002,AFOP,7827700.0
2002,IYY,7658200.0
2002,GAM,6953100.0
2002,GET,6887900.0
2002,ACME,6843800.0
2002,IGLD,6759900.0
2002,GJM,6747900.0
2002,ABAX,6746300.0
2002,IYF,6540700.0
2002,INOD,6482800.0
2002,IBKC,6393800.0
2002,IIM,6358200.0
2002,ATCO,6246000.0
2002,IMKTA,6111200.0
2002,ASRV,6045100.0
2002,ALSK,6027100.0
2002,IDSY,5951400.0
2002,ANDE,5897400.0
2002,ICAD,5824800.0
2002,ININ,5807900.0
2002,INMD,5726000.0
2002,GDF,5690600.0
2002,IBNK,5685400.0
2002,GCH,5613700.0
2002,INFI,5592300.0
2002,AEPI,5435600.0
2002,ADAM,5393800.0
2002,IQI,5266400.0
2002,ABCB,5169900.0
2002,GGT,5161700.0
2002,IXC,5049000.0
2002,GPX,5006400.0
2002,IIIN,4862800.0
2002,IYJ,4842900.0
2002,IIJI,4786600.0
2002,ARGN,4718000.0
2002,GAJ,4677300.0
2002,INOC,4595900.0
2002,AROW,4478800.0
2002,AVCA,4350900.0
2002,IRS,4218000.0
2002,IMT,4182900.0
2002,GRR,4170900.0
2002,GMXR,3798100.0
2002,INBP,3785000.0
2002,ATRM,3746600.0
2002,GCV,3743300.0
2002,ANIK,3682500.0
2002,APFC,3653600.0
2002,AMTY,3611200.0
2002,ATRO,3603700.0
2002,AMOV,3515700.0
2002,ALDA,3454000.0
2002,IRE,3302200.0
2002,ASUR,3294600.0
2002,IQT,3261400.0
2002,IQM,3248300.0
2002,ATX,3205600.0
2002,AMPL,3185800.0
2002,ANAT,3079500.0
2002,IOO,2964100.0
2002,ASFI,2906500.0
2002,AMIN,2906200.0
2002,IRIS,2841000.0
2002,IXN,2830300.0
2002,ATGN,2817400.0
2002,ALSE,2792100.0
2002,ACFN,2772000.0
2002,ADEP,2692100.0
2002,ICA,2672100.0
2002,IPAR,2652900.0
2002,IYG,2627800.0
2002,AFAM,2595400.0
2002,IHC,2477500.0
2002,IIC,2438200.0
2002,ICB,2428000.0
2002,ARTX,2403500.0
2002,IRL,2369200.0
2002,GGC,2361700.0
2002,APPA,2356800.0
2002,ALAN,2338200.0
2002,IKJ,2325300.0
2002,INCB,2198100.0
2002,AHCI,2190000.0
2002,IQC,2186400.0
2002,AMAC,2169700.0
2002,GDP,2153300.0
2002,IRIX,2040800.0
2002,IVAC,2030200.0
2002,IBA,2024000.0
2002,GBX,1975100.0
2002,ASYS,1924000.0
2002,INZ,1885900.0
2002,IXP,1881400.0
2002,INPH,1879700.0
2002,ATAX,1732200.0
2002,AMOT,1689100.0
2002,IMS,1633100.0
2002,AMPH,1617400.0
2002,INTT,1593200.0
2002,ISNS,1533400.0
2002,AMRN,1531200.0
2002,GEC,1518300.0
2002,IXJ,1506200.0
2002,AWBC,1501900.0
2002,AEZS,1453700.0
2002,ALCO,1448400.0
2002,AMNB,1424400.0
2002,INSW,1397100.0
2002,ATNI,1391200.0
2002,AVSR,1380900.0
2002,IEP,1352800.0
2002,IDRA,1327200.0
2002,GAI,1317400.0
2002,AHPI,1302400.0
2002,ARTNA,1292400.0
2002,AMAG,1238300.0
2002,ADGF,1237100.0
2002,IBCA,1236300.0
2002,GSH,1232100.0
2002,IMC,1199100.0
2002,IRSN,1179800.0
2002,ABVA,1121600.0
2002,IQN,1111100.0
2002,AAME,1066900.0
2002,APAGF,1045200.0
2002,ICCC,1026700.0
2002,ANNB,918100.0
2002,ALOT,888900.0
2002,AEHR,883800.0
2002,ADPI,882100.0
2002,IIN,859600.0
2002,AKRX,797600.0
2002,ICS,795300.0
2002,IXG,792400.0
2002,AMRB,784300.0
2002,IX,772800.0
2002,AEY,703900.0
2002,IAAC,697300.0
2002,GMK,697000.0
2002,ARKR,667000.0
2002,ALLB,650100.0
2002,ASRVP,644400.0
2002,GNI,620000.0
2002,IDSA,617200.0
2002,APII,601300.0
2002,ARDNA,593700.0
2002,ASBI,587400.0
2002,ARCI,582800.0
2002,INXI,559900.0
2002,ATRI,555300.0
2002,ACUR,540500.0
2002,AIRT,503700.0
2002,AMTC,499500.0
2002,ATLO,456900.0
2002,IFSB,445600.0
2002,ITIC,429700.0
2002,ATEA,411800.0
2002,ARCW,405200.0
2002,ARTW,400200.0
2002,ACSEF,399100.0
2002,ISRL,378300.0
2002,ANTP,366600.0
2002,ASTC,364600.0
2002,ABIO,363200.0
2002,IPII,359800.0
2002,AMCE,356800.0
2002,INTG,345200.0
2002,ALNC,312000.0
2002,ISH,282200.0
2002,AUBN,220400.0
2002,IJD,189300.0
2002,IKNX,184600.0
2002,ATBC,179600.0
2002,ALBY,139600.0
2002,ADRE,105200.0
2002,ADRD,47400.0
2002,ADRU,44100.0
2002,AMEN,42900.0
2002,ADRA,38700.0
2002,ABAT,30500.0
2002,ARWR,16200.0
2002,IMB,15100.0
2002,GTC,0.0
