交易日期,股票代码,收盘价
2010-02-08,IBM,121.88
2009-11-06,IBM,123.49
2009-08-06,IBM,117.38
2009-05-06,IBM,104.62
2009-02-06,IBM,96.14
2008-11-06,IBM,85.15
2008-08-06,IBM,129.16
2008-05-07,IBM,124.14
2008-02-06,IBM,103.59
2007-11-07,IBM,111.08
2007-08-08,IBM,112.98
2007-05-08,IBM,103.29
2007-02-07,IBM,99.54
2006-11-08,IBM,92.59
2006-08-08,IBM,75.33
2006-05-08,IBM,82.89
2006-02-08,IBM,80.8
2005-11-08,IBM,83.15
2005-08-08,IBM,83.36
2005-05-06,IBM,75.26
2005-02-08,IBM,94.13
2004-11-08,IBM,93.37
2004-08-06,IBM,83.48
2004-05-06,IBM,88.36
2004-02-06,IBM,98.94
2003-11-06,IBM,89.34
2003-08-06,IBM,79.75
2003-05-07,IBM,86.68
2003-02-06,IBM,77.51
2002-11-06,IBM,81.54
2002-08-07,IBM,69.17
2002-05-08,IBM,82.45
2002-02-06,IBM,106.63
2001-11-07,IBM,113.85
2001-08-08,IBM,104.19
2001-05-08,IBM,117.7
2001-02-07,IBM,116.91
2000-11-08,IBM,100.0
2000-08-08,IBM,118.87
2000-05-08,IBM,109.75
2000-02-08,IBM,118.81
